ID,displayId,title,status,assignee_ID,project_ID,startDate,endDate
d4035ea0-8f6b-4889-98cd-fbfd25f7e70f,T1,Requirements gathering,Open,20903584-2613-4af8-9732-55b5359f18df,79e25af5-a8e9-4bbb-b940-34052e919550,2026-01-05,2026-01-19
4d605159-79f4-4eba-8cdf-f011b2abe3c2,T1,Design phase,Done,ef52dbc7-a607-498d-91c7-217ce627e4a2,374ba421-1d0a-431e-a10c-23384b85e379,2026-01-09,2026-01-23
aab8dc89-29b8-462d-86b4-b68926ed0b90,T2,Development,In Progress,f570a437-2ca7-4a33-b6f9-e6886b499a2a,374ba421-1d0a-431e-a10c-23384b85e379,2026-01-13,2026-01-27
6769fb8b-21cc-4ced-93a4-53dbd0590ebb,T1,Development,Done,f570a437-2ca7-4a33-b6f9-e6886b499a2a,4eadabbb-8ced-4acb-af05-86bf976f4c37,2026-01-17,2026-01-31
ce82fade-3280-4cd9-b942-8def5a4e8dd1,T2,Testing,Done,6e4f0bce-ba61-44f9-a124-b9a10448fb64,4eadabbb-8ced-4acb-af05-86bf976f4c37,2026-01-21,2026-02-04
d9a77b90-7b2a-4efc-a813-97b98032da99,T3,UAT,In Progress,ea24f772-ed62-4341-970f-3bb4f3fdec8e,4eadabbb-8ced-4acb-af05-86bf976f4c37,2026-01-25,2026-02-08
2fffb6d7-e277-4db5-9bce-7bc0e5667867,T1,Testing,Done,6e4f0bce-ba61-44f9-a124-b9a10448fb64,30625db7-f52d-4d80-bffd-b077140bfdc0,2026-01-29,2026-02-12
93f4410f-191d-4ffc-bbe6-a4e3cc6264b9,T1,UAT,Done,ea24f772-ed62-4341-970f-3bb4f3fdec8e,8b3c0868-1e7c-4acb-95f6-b10a1c820c8b,2026-02-02,2026-02-16
235f7ce4-dce4-439e-b28d-5eb9abd7a042,T2,Deployment,Open,5bba6bd6-cbeb-4c90-848f-133a5a51e21d,8b3c0868-1e7c-4acb-95f6-b10a1c820c8b,2026-02-06,2026-02-20
200f85b6-b443-4d9e-8056-94efbc546a07,T1,Deployment,Done,5bba6bd6-cbeb-4c90-848f-133a5a51e21d,c9c15080-22c6-4651-bfda-0934c4fd34bd,2026-02-10,2026-02-24
89b30676-55a5-42a4-be69-7515353807c3,T2,Documentation,Done,5d1e26c8-50d5-472b-afb3-b4eab168475f,c9c15080-22c6-4651-bfda-0934c4fd34bd,2026-02-14,2026-02-28
4c072d29-9d65-4e46-9997-d52603a5dc98,T3,Stakeholder review,In Progress,1f8c45fb-30f3-4a4d-bdc5-f67eb3612a87,c9c15080-22c6-4651-bfda-0934c4fd34bd,2026-02-18,2026-03-04
28af2feb-d840-45e9-8fe1-d98610366ae3,T1,Documentation,In Progress,5d1e26c8-50d5-472b-afb3-b4eab168475f,6c6585be-0cdd-4451-a271-f203d247ee58,2026-02-22,2026-03-08
723b077b-316a-4104-be0f-c5b135aa9d92,T1,Stakeholder review,Done,1f8c45fb-30f3-4a4d-bdc5-f67eb3612a87,6ae681a9-da70-41e6-b758-1ce4886d1f6d,2026-02-26,2026-03-12
